Country;Population_2024;Land_Area_Km2;Density_PKm2;Coords;Lat;Lat_V;N_S
Ireland;5,255,017;68,890;76;53 00 N, 8 00 W;53 00;5300;N
Israel;9,387,021;21,640;434;31 30 N, 34 45 E;31 30;3130;N
Italy;59,342,867;294,140;202;42 50 N, 12 50 E;42 50;4250;N
Jamaica;2,839,175;10,830;262;18 15 N, 77 30 W;18 15;1815;N
Japan;123,753,041;364,555;339;36 00 N, 138 00 E;36 00;3600;N
Jordan;11,552,876;88,780;130;31 00 N, 36 00 E;31 00;3100;N
Kazakhstan;20,592,571;2,699,700;8;48 00 N, 68 00 E;48 00;4800;N
Kenya;56,432,944;569,140;99;1 00 N, 38 00 E;1 00;100;N
Kiribati;134,518;810;166;1 25 N, 173 00 E;1 25;125;N
Kuwait;4,934,507;17,820;277;29 30 N, 45 45 E;29 30;2930;N
Kyrgyzstan;7,186,009;191,800;37;41 00 N, 75 00 E;41 00;4100;N
Latvia;1,871,871;62,200;30;57 00 N, 25 00 E;57 00;5700;N
Lebanon;5,805,962;10,230;568;33 50 N, 35 50 E;33 50;3350;N
Lesotho;2,337,423;30,360;77;29 30 S, 28 30 E;29 30;2930;S
Liberia;5,612,817;96,320;58;6 30 N, 9 30 W;6 30;630;N
Libya;7,381,023;1,759,540;4;25 00 N, 17 00 E;25 00;2500;N
Lithuania;2,859,110;62,674;46;56 00 N, 24 00 E;56 00;5600;N
Luxembourg;673,036;2,590;260;49 45 N, 6 10 E;49 45;4945;N
Madagascar;31,964,956;581,795;55;20 00 S, 47 00 E;20 00;2000;S
Malawi;21,655,286;94,280;230;13 30 S, 34 00 E;13 30;1330;S
Malaysia;35,557,673;328,550;108;2 30 N, 112 30 E;2 30;230;N
Maldives;527,799;300;1,759;3 15 N, 73 00 E;3 15;315;N
Mali;24,478,595;1,220,190;20;17 00 N, 4 00 W;17 00;1700;N
Malta;539,607;320;1,686;35 50 N, 14 35 E;35 50;3550;N
Marshall Islands;37,548;180;209;9 00 N, 168 00 E;9 00;900;N
Mauritania;5,169,395;1,030,700;5;20 00 N, 12 00 W;20 00;2000;N
Mauritius;1,271,169;2,030;626;20 17 S, 57 33 E;20 17;2017;S
Mexico;130,861,007;1,943,950;67;23 00 N, 102 00 W;23 00;2300;N
Mongolia;3,475,540;1,553,560;2;46 00 N, 105 00 E;46 00;4600;N
Montenegro;638,479;13,450;47;42 30 N, 19 18 E;42 30;4230;N
Morocco;38,081,173;446,300;85;32 00 N, 5 00 W;32 00;3200;N
Mozambique;34,631,766;786,380;44;18 15 S, 35 00 E;18 15;1815;S
Namibia;3,030,131;823,290;4;22 00 S, 17 00 E;22 00;2200;S
Nauru;11,947;20;597;0 32 S, 166 55 E;0 32;32;S
Nepal;29,651,054;143,350;207;28 00 N, 84 00 E;28 00;2800;N
Netherlands (Kingdom of the);18,228,742;33,720;541;52 30 N, 5 45 E;52 30;5230;N
New Zealand;5,213,944;263,310;20;41 00 S, 174 00 E;41 00;4100;S
Nicaragua;6,916,140;120,340;57;13 00 N, 85 00 W;13 00;1300;N
Niger;27,032,412;1,266,700;21;16 00 N, 8 00 E;16 00;1600;N
Nigeria;232,679,478;910,770;255;10 00 N, 8 00 E;10 00;1000;N
North Macedonia;1,823,009;25,220;72;41 50 N, 22 00 E;41 50;4150;N
Norway;5,576,660;365,268;15;62 00 N, 10 00 E;62 00;6200;N
Oman;5,281,538;309,500;17;21 00 N, 57 00 E;21 00;2100;N
Pakistan;251,269,164;770,880;326;30 00 N, 70 00 E;30 00;3000;N
Panama;4,515,577;74,340;61;9 00 N, 80 00 W;9 00;900;N
Papua New Guinea;10,576,502;452,860;23;6 00 S, 147 00 E;6 00;600;S
Paraguay;6,929,153;397,300;17;23 00 S, 58 00 W;23 00;2300;S
